id,link,title,city,grade,capita,addr,tel,gr_num,lng,lat
l6qE3FQEJrIxInyM,https://m.dianping.com/shop/l6qE3FQEJrIxInyM,上海故事,太原市,,,五一路77号铜锣湾国际购物中心F2层,[],1条,112.56561196664443,37.868618828235505
k6bdtuiKf1KTDpQz,https://m.dianping.com/shop/k6bdtuiKf1KTDpQz,GMXY,太原市,,,五一路77号铜锣湾国际购物中心F3层,[],2条,112.56511233866605,37.868351205368874
H5xYgDWjSbOvTUuw,https://m.dianping.com/shop/H5xYgDWjSbOvTUuw,TONGTIAN,太原市,,,五一路77号铜锣湾国际购物中心5层,[],,112.56511832650877,37.86852524277689
l5OjfEqySBOMcagQ,https://m.dianping.com/shop/l5OjfEqySBOMcagQ,pure&mild泊美,太原市,,,五一路77号铜锣湾国际购物中心F5层,[],,112.5645365200022,37.86871359141844
k4DkpwOvNNhGSNs3,https://m.dianping.com/shop/k4DkpwOvNNhGSNs3,自然堂,太原市,,,五一路77号铜锣湾国际购物一层,"[""4008882788""",8条,112.56497915767062,37.868377054503604
H8YnjWa1RkdJYysj,https://m.dianping.com/shop/H8YnjWa1RkdJYysj,MISSHA,太原市,,,西夹巷铜锣湾国际购物中心,[],2条,112.56542376349012,37.868243546884045
G590nRhzL7eySv6p,https://m.dianping.com/shop/G590nRhzL7eySv6p,艾尔斯岩专柜,太原市,,,五一路77号铜锣湾国际购物中心F2层,[],,112.56485799279899,37.868394915591914
ibrTk94xuDufGhSA,https://m.dianping.com/shop/ibrTk94xuDufGhSA,MAYBELLINE,太原市,,,五一路77号铜锣湾国际购物中心F1层,"[""18003434220""]",10条,112.56495011177766,37.86843703100194
H1JA5deE4ngT0FPV,https://m.dianping.com/shop/H1JA5deE4ngT0FPV,DHC,太原市,,,五一路77号铜锣湾国际购物中心F1层,"[""13653693414""]",5条,112.56470679673029,37.8683237250103
l8KJl7Hk4nl2jPW4,https://m.dianping.com/shop/l8KJl7Hk4nl2jPW4,乔丹,太原市,,,五一路77号铜锣湾国际购物中心F5层,[],,112.56123173471158,37.86846938460495
k7D4nRK1dlNWZE8v,https://m.dianping.com/shop/k7D4nRK1dlNWZE8v,JackWolfskin,太原市,,,五一路77号铜锣湾国际购物中心F5,[],1条,112.56425717545426,37.86837719877903
